ajout,pente
mbp,-0.037
mbp,-0.0367
mbp,-0.0247
mbp,-0.0476
mbp,-0.0351
NQR,-0.0123
NQR,-0.0106
NQR,-0.01
NQR,-0.0131
NQR,-0.0101
AIR12,-0.0078
AIR12,-0.0084
AIR12,-0.0096
AIR12,-0.0048
AIR12,-0.0057
