ajout,pente
mbp,0.0647
mbp,0.08
mbp,0.0694
mbp,0.0764
NQR,0.0991
NQR,0.1025
NQR,0.0934
NQR,0.1077
AIR12,0.0826
AIR12,0.0872
AIR12,0.0852
AIR12,0.0816
