temps,genotype,fluo,stress
332,nqrfqr1,0.62,froid
346,nqrfqr1,0.651,froid
363,nqrfqr1,0.686,froid
383,nqrfqr1,0.718,froid
408,nqrfqr1,0.729,froid
437,nqrfqr1,0.78,froid
473,nqrfqr1,0.812,froid
515,nqrfqr1,0.851,froid
564,nqrfqr1,0.863,froid
624,nqrfqr1,0.612,froid
696,nqrfqr1,0.918,froid
0,WT,1,control
42,WT,0,control
62,WT,0,control
83,WT,0,control
103,WT,0,control
123,WT,0,control
143,WT,0.176,control
164,WT,0.224,control
184,WT,0.255,control
204,WT,0.275,control
224,WT,0.29,control
245,WT,0.314,control
265,WT,0.341,control
285,WT,0.349,control
306,WT,0.365,control
320,WT,0.757,control
332,WT,0.788,control
346,WT,0.808,control
363,WT,0.855,control
384,WT,0.875,control
408,WT,0.894,control
438,WT,0.918,control
473,WT,0.933,control
515,WT,0.949,control
564,WT,0.969,control
624,WT,0.98,control
696,WT,0.992,control
782,WT,1,control
0,WT,1,control
42,WT,0,control
62,WT,0,control
83,WT,0,control
103,WT,0,control
123,WT,0,control
143,WT,0,control
164,WT,0,control
184,WT,0,control
204,WT,0.235,control
224,WT,0.271,control
245,WT,0.29,control
265,WT,0.298,control
285,WT,0.333,control
306,WT,0.337,control
320,WT,0.725,control
332,WT,0.769,control
346,WT,0.804,control
363,WT,0.831,control
384,WT,0.843,control
408,WT,0.871,control
438,WT,0.89,control
473,WT,0.918,control
515,WT,0.929,control
564,WT,0.953,control
624,WT,0.965,control
696,WT,0.976,control
782,WT,0.988,control
0,WT,1,control
42,WT,0,control
62,WT,0,control
83,WT,0,control
103,WT,0,control
123,WT,0,control
143,WT,0,control
164,WT,0,control
184,WT,0,control
204,WT,0,control
224,WT,0,control
245,WT,0,control
265,WT,0.341,control
285,WT,0,control
306,WT,0.349,control
320,WT,0.671,control
332,WT,0.722,control
346,WT,0.737,control
363,WT,0.769,control
384,WT,0.78,control
408,WT,0.812,control
438,WT,0.831,control
473,WT,0.855,control
515,WT,0.871,control
564,WT,0.898,control
624,WT,0.922,control
696,WT,0.941,control
782,WT,0.961,control
0,WT,1,control
42,WT,0,control
62,WT,0,control
83,WT,0,control
103,WT,0,control
123,WT,0,control
143,WT,0,control
164,WT,0,control
184,WT,0,control
204,WT,0,control
224,WT,0,control
245,WT,0,control
265,WT,0,control
285,WT,0,control
306,WT,0,control
320,WT,0.569,control
332,WT,0.675,control
346,WT,0.718,control
363,WT,0.745,control
384,WT,0.741,control
408,WT,0.773,control
438,WT,0.788,control
473,WT,0.82,control
515,WT,0.839,control
564,WT,0.867,control
624,WT,0.89,control
696,WT,0.914,control
782,WT,0.929,control
0,nqr,1,control
42,nqr,0,control
62,nqr,0,control
83,nqr,0,control
103,nqr,0,control
123,nqr,0,control
143,nqr,0,control
164,nqr,0.247,control
184,nqr,0.275,control
204,nqr,0.337,control
224,nqr,0.365,control
245,nqr,0.388,control
265,nqr,0.408,control
285,nqr,0.42,control
306,nqr,0.435,control
320,nqr,0.765,control
332,nqr,0.8,control
346,nqr,0.804,control
363,nqr,0.843,control
384,nqr,0.847,control
408,nqr,0.871,control
438,nqr,0.886,control
473,nqr,0.91,control
515,nqr,0.929,control
564,nqr,0.957,control
624,nqr,0.965,control
696,nqr,0.98,control
782,nqr,0.992,control
0,nqr,1,control
42,nqr,0,control
62,nqr,0,control
83,nqr,0,control
103,nqr,0,control
123,nqr,0,control
143,nqr,0,control
164,nqr,0,control
184,nqr,0,control
204,nqr,0,control
224,nqr,0,control
245,nqr,0,control
265,nqr,0,control
285,nqr,0,control
306,nqr,0.255,control
320,nqr,0.631,control
332,nqr,0.714,control
346,nqr,0.745,control
363,nqr,0.792,control
384,nqr,0.796,control
408,nqr,0.827,control
438,nqr,0.843,control
473,nqr,0.867,control
515,nqr,0.882,control
564,nqr,0.91,control
624,nqr,0.922,control
696,nqr,0.945,control
782,nqr,0.957,control
0,nqr,1,control
42,nqr,0,control
62,nqr,0,control
83,nqr,0,control
103,nqr,0,control
123,nqr,0,control
143,nqr,0.263,control
164,nqr,0.298,control
184,nqr,0.333,control
204,nqr,0.357,control
224,nqr,0.373,control
245,nqr,0.396,control
265,nqr,0.404,control
285,nqr,0.412,control
306,nqr,0.416,control
320,nqr,0.776,control
332,nqr,0.843,control
346,nqr,0.847,control
363,nqr,0.882,control
384,nqr,0.878,control
408,nqr,0.886,control
438,nqr,0.918,control
473,nqr,0.937,control
515,nqr,0.945,control
564,nqr,0.961,control
624,nqr,0.973,control
696,nqr,0.988,control
782,nqr,1,control
0,fqr1,1,control
42,fqr1,0,control
62,fqr1,0,control
83,fqr1,0,control
103,fqr1,0,control
123,fqr1,0,control
143,fqr1,0,control
164,fqr1,0,control
184,fqr1,0,control
204,fqr1,0,control
224,fqr1,0,control
245,fqr1,0,control
265,fqr1,0,control
285,fqr1,0,control
306,fqr1,0,control
320,fqr1,0.639,control
332,fqr1,0.706,control
346,fqr1,0.733,control
363,fqr1,0.745,control
384,fqr1,0.753,control
408,fqr1,0.769,control
438,fqr1,0.816,control
473,fqr1,0.827,control
515,fqr1,0.863,control
564,fqr1,0.898,control
624,fqr1,0.906,control
696,fqr1,0.929,control
782,fqr1,0.945,control
0,fqr1,1,control
42,fqr1,0,control
62,fqr1,0,control
83,fqr1,0,control
103,fqr1,0,control
123,fqr1,0,control
143,fqr1,0,control
164,fqr1,0.204,control
184,fqr1,0.235,control
204,fqr1,0.259,control
224,fqr1,0.267,control
245,fqr1,0.302,control
265,fqr1,0.325,control
285,fqr1,0.353,control
306,fqr1,0.365,control
320,fqr1,0.827,control
332,fqr1,0.839,control
346,fqr1,0.855,control
363,fqr1,0.89,control
384,fqr1,0.898,control
408,fqr1,0.914,control
438,fqr1,0.933,control
473,fqr1,0.945,control
515,fqr1,0.961,control
564,fqr1,0.98,control
624,fqr1,0.988,control
696,fqr1,1,control
782,fqr1,1,control
0,nqrfqr1,1,control
42,nqrfqr1,0,control
62,nqrfqr1,0,control
83,nqrfqr1,0,control
103,nqrfqr1,0,control
123,nqrfqr1,0,control
143,nqrfqr1,0,control
164,nqrfqr1,0,control
184,nqrfqr1,0,control
204,nqrfqr1,0,control
224,nqrfqr1,0,control
245,nqrfqr1,0.275,control
265,nqrfqr1,0.294,control
285,nqrfqr1,0.314,control
306,nqrfqr1,0.302,control
320,nqrfqr1,0.643,control
332,nqrfqr1,0.729,control
346,nqrfqr1,0.757,control
363,nqrfqr1,0.78,control
384,nqrfqr1,0.792,control
408,nqrfqr1,0.82,control
438,nqrfqr1,0.847,control
473,nqrfqr1,0.867,control
515,nqrfqr1,0.89,control
564,nqrfqr1,0.906,control
624,nqrfqr1,0.929,control
696,nqrfqr1,0.949,control
782,nqrfqr1,0.969,control
0,nqrfqr1,1,control
42,nqrfqr1,0,control
62,nqrfqr1,0,control
83,nqrfqr1,0,control
103,nqrfqr1,0,control
123,nqrfqr1,0,control
143,nqrfqr1,0,control
164,nqrfqr1,0,control
184,nqrfqr1,0,control
204,nqrfqr1,0,control
224,nqrfqr1,0,control
245,nqrfqr1,0.267,control
265,nqrfqr1,0.29,control
285,nqrfqr1,0.314,control
306,nqrfqr1,0.318,control
320,nqrfqr1,0.706,control
332,nqrfqr1,0.784,control
346,nqrfqr1,0.796,control
363,nqrfqr1,0.831,control
384,nqrfqr1,0.831,control
408,nqrfqr1,0.863,control
438,nqrfqr1,0.886,control
473,nqrfqr1,0.906,control
515,nqrfqr1,0.922,control
564,nqrfqr1,0.941,control
624,nqrfqr1,0.961,control
696,nqrfqr1,0.976,control
782,nqrfqr1,0.984,control
0,nqrfqr1,1,control
42,nqrfqr1,0,control
62,nqrfqr1,0,control
83,nqrfqr1,0,control
103,nqrfqr1,0,control
123,nqrfqr1,0,control
143,nqrfqr1,0,control
164,nqrfqr1,0,control
184,nqrfqr1,0,control
204,nqrfqr1,0,control
224,nqrfqr1,0,control
245,nqrfqr1,0.224,control
265,nqrfqr1,0.251,control
285,nqrfqr1,0.267,control
306,nqrfqr1,0.294,control
320,nqrfqr1,0.698,control
332,nqrfqr1,0.757,control
346,nqrfqr1,0.784,control
363,nqrfqr1,0.82,control
384,nqrfqr1,0.831,control
408,nqrfqr1,0.855,control
438,nqrfqr1,0.871,control
473,nqrfqr1,0.898,control
515,nqrfqr1,0.91,control
564,nqrfqr1,0.933,control
624,nqrfqr1,0.949,control
696,nqrfqr1,0.969,control
782,nqrfqr1,0.976,control
0,WT,1,chaud
42,WT,0,chaud
62,WT,0,chaud
83,WT,0,chaud
103,WT,0,chaud
123,WT,0,chaud
143,WT,0.322,chaud
164,WT,0.353,chaud
184,WT,0.376,chaud
204,WT,0.373,chaud
225,WT,0.353,chaud
245,WT,0.404,chaud
265,WT,0.392,chaud
285,WT,0.42,chaud
306,WT,0.443,chaud
320,WT,0.761,chaud
332,WT,0.792,chaud
346,WT,0.824,chaud
363,WT,0.863,chaud
384,WT,0.886,chaud
408,WT,0.898,chaud
437,WT,0.918,chaud
473,WT,0.941,chaud
515,WT,0.949,chaud
564,WT,0.965,chaud
624,WT,0.992,chaud
696,WT,0.996,chaud
0,WT,1,chaud
42,WT,0,chaud
62,WT,0,chaud
83,WT,0,chaud
103,WT,0,chaud
123,WT,0,chaud
143,WT,0,chaud
164,WT,0,chaud
184,WT,0.322,chaud
204,WT,0.329,chaud
225,WT,0,chaud
245,WT,0,chaud
265,WT,0.365,chaud
285,WT,0.4,chaud
306,WT,0.427,chaud
320,WT,0.753,chaud
332,WT,0.796,chaud
346,WT,0.831,chaud
363,WT,0.847,chaud
384,WT,0.863,chaud
408,WT,0.914,chaud
437,WT,0.925,chaud
473,WT,0.941,chaud
515,WT,0.961,chaud
564,WT,0.976,chaud
624,WT,0.992,chaud
696,WT,0.992,chaud
0,WT,1,chaud
42,WT,0,chaud
62,WT,0,chaud
83,WT,0,chaud
103,WT,0.247,chaud
123,WT,0.329,chaud
143,WT,0.38,chaud
164,WT,0.4,chaud
184,WT,0.427,chaud
204,WT,0.427,chaud
225,WT,0.451,chaud
245,WT,0.475,chaud
265,WT,0.498,chaud
285,WT,0.518,chaud
306,WT,0.537,chaud
320,WT,0.827,chaud
332,WT,0.843,chaud
346,WT,0.855,chaud
363,WT,0.886,chaud
384,WT,0.902,chaud
408,WT,0.925,chaud
437,WT,0.945,chaud
473,WT,0.969,chaud
515,WT,0.98,chaud
564,WT,1,chaud
624,WT,1,chaud
696,WT,1,chaud
0,WT,1,chaud
42,WT,0,chaud
62,WT,0,chaud
83,WT,0,chaud
103,WT,0,chaud
123,WT,0,chaud
143,WT,0,chaud
164,WT,0,chaud
184,WT,0,chaud
204,WT,0,chaud
225,WT,0,chaud
245,WT,0.353,chaud
265,WT,0.353,chaud
285,WT,0.376,chaud
306,WT,0.38,chaud
320,WT,0.725,chaud
332,WT,0.765,chaud
346,WT,0.784,chaud
363,WT,0.824,chaud
384,WT,0.851,chaud
408,WT,0.871,chaud
437,WT,0.894,chaud
473,WT,0.925,chaud
515,WT,0.945,chaud
564,WT,0.961,chaud
624,WT,0.976,chaud
696,WT,0.976,chaud
0,nqr,1,chaud
42,nqr,0,chaud
62,nqr,0,chaud
83,nqr,0,chaud
103,nqr,0,chaud
123,nqr,0,chaud
143,nqr,0,chaud
164,nqr,0,chaud
184,nqr,0,chaud
204,nqr,0,chaud
225,nqr,0,chaud
245,nqr,0,chaud
265,nqr,0,chaud
285,nqr,0,chaud
306,nqr,0,chaud
320,nqr,0.718,chaud
332,nqr,0.769,chaud
346,nqr,0.796,chaud
363,nqr,0.82,chaud
384,nqr,0.835,chaud
408,nqr,0.875,chaud
437,nqr,0.89,chaud
473,nqr,0.902,chaud
515,nqr,0.929,chaud
564,nqr,0.953,chaud
624,nqr,0.957,chaud
696,nqr,0.98,chaud
0,nqr,1,chaud
42,nqr,0,chaud
62,nqr,0,chaud
83,nqr,0,chaud
103,nqr,0,chaud
123,nqr,0,chaud
143,nqr,0,chaud
164,nqr,0,chaud
184,nqr,0,chaud
204,nqr,0,chaud
225,nqr,0,chaud
245,nqr,0,chaud
265,nqr,0,chaud
285,nqr,0,chaud
306,nqr,0,chaud
320,nqr,0.631,chaud
332,nqr,0.686,chaud
346,nqr,0.753,chaud
363,nqr,0.776,chaud
384,nqr,0.788,chaud
408,nqr,0.82,chaud
437,nqr,0.847,chaud
473,nqr,0.878,chaud
515,nqr,0.878,chaud
564,nqr,0.91,chaud
624,nqr,0.918,chaud
696,nqr,0.925,chaud
0,fqr1,1,chaud
42,fqr1,0,chaud
62,fqr1,0,chaud
83,fqr1,0,chaud
103,fqr1,0,chaud
123,fqr1,0,chaud
143,fqr1,0,chaud
164,fqr1,0,chaud
184,fqr1,0,chaud
204,fqr1,0,chaud
225,fqr1,0,chaud
245,fqr1,0,chaud
265,fqr1,0,chaud
285,fqr1,0,chaud
306,fqr1,0,chaud
320,fqr1,0.576,chaud
332,fqr1,0.663,chaud
346,fqr1,0.722,chaud
363,fqr1,0.745,chaud
384,fqr1,0.776,chaud
408,fqr1,0.796,chaud
437,fqr1,0.831,chaud
473,fqr1,0.875,chaud
515,fqr1,0.886,chaud
564,fqr1,0.91,chaud
624,fqr1,0.925,chaud
696,fqr1,0.945,chaud
0,nqrfqr1,1,chaud
42,nqrfqr1,0,chaud
62,nqrfqr1,0,chaud
83,nqrfqr1,0,chaud
103,nqrfqr1,0,chaud
123,nqrfqr1,0,chaud
143,nqrfqr1,0,chaud
164,nqrfqr1,0,chaud
184,nqrfqr1,0,chaud
204,nqrfqr1,0,chaud
225,nqrfqr1,0,chaud
245,nqrfqr1,0,chaud
265,nqrfqr1,0,chaud
285,nqrfqr1,0,chaud
306,nqrfqr1,0,chaud
320,nqrfqr1,0.667,chaud
332,nqrfqr1,0.757,chaud
346,nqrfqr1,0.8,chaud
363,nqrfqr1,0.82,chaud
384,nqrfqr1,0.851,chaud
408,nqrfqr1,0.871,chaud
437,nqrfqr1,0.886,chaud
473,nqrfqr1,0.91,chaud
515,nqrfqr1,0.933,chaud
564,nqrfqr1,0.949,chaud
624,nqrfqr1,0.949,chaud
696,nqrfqr1,0.98,chaud
0,WT,1,froid
42,WT,0,froid
63,WT,0,froid
83,WT,0,froid
103,WT,0,froid
124,WT,0,froid
144,WT,0.247,froid
164,WT,0.318,froid
184,WT,0.392,froid
204,WT,0.416,froid
225,WT,0.424,froid
245,WT,0.459,froid
265,WT,0.478,froid
286,WT,0.486,froid
306,WT,0.494,froid
320,WT,0.827,froid
332,WT,0.855,froid
346,WT,0.984,froid
365,WT,0.89,froid
384,WT,0.906,froid
408,WT,0.925,froid
438,WT,0.945,froid
473,WT,0.969,froid
515,WT,0.98,froid
564,WT,1,froid
624,WT,1,froid
696,WT,1,froid
782,WT,1,froid
0,WT,1,froid
42,WT,0,froid
63,WT,0,froid
83,WT,0,froid
103,WT,0,froid
124,WT,0.22,froid
144,WT,0.306,froid
164,WT,0.365,froid
184,WT,0.427,froid
204,WT,0.435,froid
225,WT,0.435,froid
245,WT,0.451,froid
265,WT,0.482,froid
286,WT,0.502,froid
306,WT,0.502,froid
320,WT,0.816,froid
332,WT,0.835,froid
346,WT,0.969,froid
365,WT,0.875,froid
384,WT,0.886,froid
408,WT,0.91,froid
438,WT,0.929,froid
473,WT,0.949,froid
515,WT,0.965,froid
564,WT,0.984,froid
624,WT,0.996,froid
696,WT,1,froid
782,WT,1,froid
0,WT,1,froid
42,WT,0,froid
63,WT,0,froid
83,WT,0,froid
103,WT,0,froid
124,WT,0.169,froid
144,WT,0.227,froid
164,WT,0.286,froid
184,WT,0.333,froid
204,WT,0.361,froid
225,WT,0.361,froid
245,WT,0.388,froid
265,WT,0.412,froid
286,WT,0.431,froid
306,WT,0.439,froid
320,WT,0.757,froid
332,WT,0.788,froid
346,WT,0.949,froid
365,WT,0.839,froid
384,WT,0.855,froid
408,WT,0.878,froid
438,WT,0.894,froid
473,WT,0.91,froid
515,WT,0.933,froid
564,WT,0.945,froid
624,WT,0.969,froid
696,WT,0.984,froid
782,WT,1,froid
0,nqr,1,froid
42,nqr,0,froid
63,nqr,0,froid
83,nqr,0,froid
103,nqr,0.153,froid
124,nqr,0.239,froid
144,nqr,0.325,froid
164,nqr,0.357,froid
184,nqr,0.388,froid
204,nqr,0.416,froid
225,nqr,0.435,froid
245,nqr,0.459,froid
265,nqr,0.482,froid
286,nqr,0.498,froid
306,nqr,0.522,froid
320,nqr,0.894,froid
332,nqr,0.882,froid
346,nqr,0.98,froid
365,nqr,0.91,froid
384,nqr,0.918,froid
408,nqr,0.941,froid
438,nqr,0.965,froid
473,nqr,0.98,froid
515,nqr,0.996,froid
564,nqr,1,froid
624,nqr,1,froid
696,nqr,1,froid
782,nqr,1,froid
0,nqr,1,froid
42,nqr,0,froid
63,nqr,0,froid
83,nqr,0,froid
103,nqr,0.141,froid
124,nqr,0.231,froid
144,nqr,0.271,froid
164,nqr,0.322,froid
184,nqr,0.38,froid
204,nqr,0.396,froid
225,nqr,0.412,froid
245,nqr,0.431,froid
265,nqr,0.443,froid
286,nqr,0.459,froid
306,nqr,0.471,froid
320,nqr,0.8,froid
332,nqr,0.827,froid
346,nqr,0.969,froid
365,nqr,0.871,froid
384,nqr,0.89,froid
408,nqr,0.906,froid
438,nqr,0.925,froid
473,nqr,0.949,froid
515,nqr,0.969,froid
564,nqr,0.984,froid
624,nqr,1,froid
696,nqr,1,froid
782,nqr,1,froid
0,nqr,1,froid
42,nqr,0,froid
63,nqr,0,froid
83,nqr,0,froid
103,nqr,0,froid
124,nqr,0,froid
144,nqr,0,froid
164,nqr,0,froid
184,nqr,0.227,froid
204,nqr,0.231,froid
225,nqr,0.247,froid
245,nqr,0.263,froid
265,nqr,0.255,froid
286,nqr,0.294,froid
306,nqr,0.286,froid
320,nqr,0.643,froid
332,nqr,0.718,froid
346,nqr,0.933,froid
365,nqr,0.792,froid
384,nqr,0.82,froid
408,nqr,0.855,froid
438,nqr,0.878,froid
473,nqr,0.898,froid
515,nqr,0.922,froid
564,nqr,0.937,froid
624,nqr,0.957,froid
696,nqr,0.969,froid
782,nqr,0.988,froid
0,nqr,1,froid
42,nqr,0,froid
63,nqr,0,froid
83,nqr,0,froid
103,nqr,0,froid
124,nqr,0,froid
144,nqr,0.235,froid
164,nqr,0.294,froid
184,nqr,0.337,froid
204,nqr,0.365,froid
225,nqr,0.365,froid
245,nqr,0.396,froid
265,nqr,0.392,froid
286,nqr,0.42,froid
306,nqr,0.416,froid
320,nqr,0.714,froid
332,nqr,0.784,froid
346,nqr,0.965,froid
365,nqr,0.831,froid
384,nqr,0.851,froid
408,nqr,0.875,froid
438,nqr,0.894,froid
473,nqr,0.918,froid
515,nqr,0.945,froid
564,nqr,0.957,froid
624,nqr,0.984,froid
696,nqr,0.996,froid
782,nqr,1,froid
0,fqr1,1,froid
42,fqr1,0,froid
62,fqr1,0,froid
83,fqr1,0,froid
103,fqr1,0,froid
123,fqr1,0.165,froid
143,fqr1,0.251,froid
164,fqr1,0.31,froid
184,fqr1,0.349,froid
204,fqr1,0.365,froid
225,fqr1,0.388,froid
245,fqr1,0.408,froid
265,fqr1,0.435,froid
285,fqr1,0.435,froid
305,fqr1,0.451,froid
320,fqr1,0.804,froid
332,fqr1,0.816,froid
346,fqr1,0.945,froid
363,fqr1,0.859,froid
383,fqr1,0.882,froid
408,fqr1,0.902,froid
437,fqr1,0.925,froid
473,fqr1,0.949,froid
515,fqr1,0.965,froid
564,fqr1,0.98,froid
624,fqr1,1,froid
696,fqr1,1,froid
0,fqr1,1,froid
42,fqr1,0,froid
62,fqr1,0,froid
83,fqr1,0,froid
103,fqr1,0,froid
123,fqr1,0,froid
143,fqr1,0,froid
164,fqr1,0,froid
184,fqr1,0,froid
204,fqr1,0,froid
225,fqr1,0,froid
245,fqr1,0,froid
265,fqr1,0,froid
285,fqr1,0,froid
305,fqr1,0,froid
320,fqr1,0.71,froid
332,fqr1,0.733,froid
346,fqr1,0.941,froid
363,fqr1,0.804,froid
383,fqr1,0.812,froid
408,fqr1,0.871,froid
437,fqr1,0.882,froid
473,fqr1,0.914,froid
515,fqr1,0.922,froid
564,fqr1,0.957,froid
624,fqr1,0.965,froid
696,fqr1,0.98,froid
0,fqr1,1,froid
42,fqr1,0,froid
62,fqr1,0,froid
83,fqr1,0,froid
103,fqr1,0,froid
123,fqr1,0.224,froid
143,fqr1,0.278,froid
164,fqr1,0.306,froid
184,fqr1,0.353,froid
204,fqr1,0.373,froid
225,fqr1,0.396,froid
245,fqr1,0.4,froid
265,fqr1,0.424,froid
285,fqr1,0.431,froid
305,fqr1,0.447,froid
320,fqr1,0.824,froid
332,fqr1,0.831,froid
346,fqr1,0.953,froid
363,fqr1,0.875,froid
383,fqr1,0.886,froid
408,fqr1,0.91,froid
437,fqr1,0.933,froid
473,fqr1,0.957,froid
515,fqr1,0.973,froid
564,fqr1,0.984,froid
624,fqr1,1,froid
696,fqr1,1,froid
0,fqr1,1,froid
42,fqr1,0,froid
62,fqr1,0,froid
83,fqr1,0,froid
103,fqr1,0,froid
123,fqr1,0,froid
143,fqr1,0.165,froid
164,fqr1,0.231,froid
184,fqr1,0.275,froid
204,fqr1,0.306,froid
225,fqr1,0.341,froid
245,fqr1,0.369,froid
265,fqr1,0.376,froid
285,fqr1,0.388,froid
305,fqr1,0.392,froid
320,fqr1,0.741,froid
332,fqr1,0.804,froid
346,fqr1,0.941,froid
363,fqr1,0.847,froid
383,fqr1,0.871,froid
408,fqr1,0.89,froid
437,fqr1,0.914,froid
473,fqr1,0.937,froid
515,fqr1,0.953,froid
564,fqr1,0.969,froid
624,fqr1,0.984,froid
696,fqr1,0.996,froid
0,nqrfqr1,1,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0,froid
103,nqrfqr1,0,froid
123,nqrfqr1,0.188,froid
143,nqrfqr1,0.271,froid
164,nqrfqr1,0.337,froid
184,nqrfqr1,0.361,froid
204,nqrfqr1,0.376,froid
225,nqrfqr1,0.392,froid
245,nqrfqr1,0.4,froid
265,nqrfqr1,0.416,froid
285,nqrfqr1,0.443,froid
305,nqrfqr1,0.439,froid
320,nqrfqr1,0.765,froid
332,nqrfqr1,0.784,froid
346,nqrfqr1,0.937,froid
363,nqrfqr1,0.847,froid
383,nqrfqr1,0.851,froid
408,nqrfqr1,0.886,froid
437,nqrfqr1,0.91,froid
473,nqrfqr1,0.933,froid
515,nqrfqr1,0.949,froid
564,nqrfqr1,0.969,froid
624,nqrfqr1,0.984,froid
696,nqrfqr1,1,froid
0,nqrfqr1,1,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0,froid
103,nqrfqr1,0,froid
123,nqrfqr1,0,froid
143,nqrfqr1,0,froid
164,nqrfqr1,0.188,froid
184,nqrfqr1,0.212,froid
204,nqrfqr1,0.235,froid
225,nqrfqr1,0.247,froid
245,nqrfqr1,0.255,froid
265,nqrfqr1,0.282,froid
285,nqrfqr1,0.298,froid
305,nqrfqr1,0.302,froid
320,nqrfqr1,0.702,froid
332,nqrfqr1,0.761,froid
346,nqrfqr1,0.933,froid
363,nqrfqr1,0.831,froid
383,nqrfqr1,0.847,froid
408,nqrfqr1,0.875,froid
437,nqrfqr1,0.902,froid
473,nqrfqr1,0.922,froid
515,nqrfqr1,0.937,froid
564,nqrfqr1,0.953,froid
624,nqrfqr1,0.973,froid
696,nqrfqr1,0.984,froid
0,nqrfqr1,1,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0,froid
103,nqrfqr1,0,froid
123,nqrfqr1,0,froid
143,nqrfqr1,0,froid
164,nqrfqr1,0,froid
184,nqrfqr1,0,froid
204,nqrfqr1,0,froid
225,nqrfqr1,0,froid
245,nqrfqr1,0,froid
265,nqrfqr1,0,froid
285,nqrfqr1,0,froid
305,nqrfqr1,0,froid
320,nqrfqr1,0.694,froid
332,nqrfqr1,0.773,froid
346,nqrfqr1,0.984,froid
363,nqrfqr1,0.796,froid
383,nqrfqr1,0.812,froid
408,nqrfqr1,0.843,froid
437,nqrfqr1,0.863,froid
473,nqrfqr1,0.902,froid
515,nqrfqr1,0.918,froid
564,nqrfqr1,0.941,froid
624,nqrfqr1,0.965,froid
696,nqrfqr1,0.984,froid
0,nqrfqr1,1,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0,froid
103,nqrfqr1,0,froid
123,nqrfqr1,0.18,froid
143,nqrfqr1,0.259,froid
164,nqrfqr1,0.306,froid
184,nqrfqr1,0.357,froid
204,nqrfqr1,0.373,froid
225,nqrfqr1,0.384,froid
245,nqrfqr1,0.408,froid
265,nqrfqr1,0.447,froid
285,nqrfqr1,0.455,froid
305,nqrfqr1,0.486,froid
320,nqrfqr1,0.851,froid
332,nqrfqr1,0.851,froid
346,nqrfqr1,0.961,froid
363,nqrfqr1,0.882,froid
383,nqrfqr1,0.902,froid
408,nqrfqr1,0.922,froid
437,nqrfqr1,0.945,froid
473,nqrfqr1,0.965,froid
515,nqrfqr1,0.98,froid
564,nqrfqr1,0.988,froid
624,nqrfqr1,1,froid
696,nqrfqr1,1,froid
