temperature,temps,germination,se
LT,0,0,0
C,0,0,0
HT,0,0,0
LT,29,0,0
C,29,0,0
HT,29,0,0
LT,42,0,0
C,42,0,0
HT,42,0,0
LT,51,0,0
C,51,0,0
HT,51,0,0
LT,74,0,0
C,74,0,0
HT,74,0,0
LT,100,0,0
C,100,0,0
HT,100,0,0
LT,139,36,6
C,139,81,3
HT,139,89,1
LT,163,85,4
C,163,90,2
HT,163,93,2
LT,187,91,1
C,187,95,2
HT,187,94,2
LT,212,92,0
C,212,97,3
HT,212,98,1
LT,240,92,0
C,240,97,3
HT,240,98,1
