temperature,temps,germination,se
LT,0,0,0
C,0,0,0
HT,0,0,0
LT,70,0,0
C,70,0,0
HT,70,0,0
LT,91,0,0
C,91,0,0
HT,91,0,0
LT,122,0,0
C,122,2,1
HT,122,0,0
LT,142,0,0
C,142,11,3
HT,142,1,1
LT,164,8,2
C,164,24,4
HT,164,4,2
LT,240,32,2
C,240,37,8
HT,240,18,3
